,0
1205,"Pope Francis says caring for the poor and the elderly is the only way to show that members of the church are God-fearing. Pope Francis is speaking at a Mass at the Vatican.At a time when many people are suffering and suffering from covid, Christians need to be more committed to helping and caring for the needy and continue to protect the elderly from the fear of covid and other obstacles.but asking God to remove the difficulties that have seized them"
1206,"Teachers' aid development school from people to people modern school garden and nutrition sgn system at samama primary school in kamowa village in ta kuntaja the toilet because they keep moisture for a long time, fertilizers waste money, they do not return the nutrients to the soil and we need to fertilize every year. Commenting on the toilet, he said it would help people to make more manure because they would get their own dung not only for animals. for the season I would encourage people to use it to start storing compost but help us build more so that every family can keep its moisture in place ""said Kamowa."
1207,kayira challenges leaves bout on march mzuzu based professional boxer laston kayira has challenged lilongwe based veteran wilson leaves in an eight round non title bout scheduled for obrigado leisure park on march this will be the first mzuzu city fight this year chisale The rules on wenela have changed dramatically osgood kayuni kayira is claimimg that he has all the qualities to silence the pages we have therefore decided to give him an opportunity to prove his worth phillip ngwira of ken one and nyamaz boxing promotions told the nation on monday according to ngwira the fight has attracted supporting bouts involving opportunities kamanga amos kayira patrick kayira secret chirwa israel banda and clifford yahaya this will be kayiras fourth professional fight in previous bouts he defeated alex chimbalanga in a knockout lost to malani kayuni on points and drew against aubrey leaves kayira is currently being trained by gabriel mkondowe i am happy that spons ors have finally come to our rescue i want to prove that my elevation to the professional level was not a fluke said kayira on his part pages said he is prepared for the fight and warned that kayira is too young to fight him the two will fight under lightweight category
1208,"He used to know my mother in the past. Parents used to choose a marriage partner for their children, but now things have changed, even though the parents can be a beacon for the children to see and love each other. they chatted together and through their conversation their children met and fell in love to this day with the lucky family and sheira on a rainy day. Luckily she used to go to Shiera's house according to her computer business to see Sheira's mother as her client. We started dating for a few months and then we decided to get engaged and all the necessary things like going to the parents and so on. The engagement really took place in the Lilongwe area, ""said Sheira. God has planned for them to be together by seeing the love they give each other and saying that there are many things that both love or hate"
1209,"calls for choirs to support radio mariaHe told Radio Maria that the radio has done great things for the church choirs in the country and that the choirs should be grateful.Catholic Church in this country, Radio Maria is very supportive of the choirs in the country."
1210,"chancellor college blessings The arrest of a candidate for the presidency of the UDF in the Tupele Mulu by-elections. Considering that he had injured some people, he said that the government is showing a lack of concern and only wants to deal with the perpetrators. He said this would leave Malawians in trouble because whatever happens, Malawians should be on fire. This week in Lilongwe, on his way to Blantyre, his arrest came as police dispersed people on Sunday in the city where he wanted to speak to them."
1211,"Blantyre MP Malabada Ishumael Rafik Mkumba says he wants the people of his constituency to be entrepreneurial as a way to save money in the House of Commons.Speaking to Radio Maria Malawi in Blantyre, the Deputy Minister of Education and Science and Technology said in a statement that he would like to see the post of Deputy Minister of Dupp and UDF in the development of the DFP.with ddp we believe in the development of the people and when we made the agreement it was not a problem because our ambitions were the same said Mmba said if the country is not going well the problem is not the president but the problem is mp because the president sends mp to serve the people and will teach people to save money properly"
1212,"envy grows envy Some people in envious state have been unable to cope with the killing of cattle and goats, pigs and sheep, in defiance of a ban imposed by the Ministry of Agriculture to address foot and mouth disease outbreaks in the area for months. escom in free for all fuel scam wait gets longer secrecy over party funders the agriculture ministry banned the killing or sale of livestock in january due to the outbreak but even though the ban was not lifted some people still kill cattle and other animals and illegally sell animals which pose a threat The senior chief mallemia of the district has confirmed that this is indeed happening and has told the community security to arrest anyone found doing this. The boundaries of jealousy and violence should be trampled on. The problem is that people are killing animals illegally so it is difficult to catch them. ""We are looking for them and we will arrest them if we find them,"" said Mallemia in a recent interview with Ernest Memoir of Fatima wa Ta Mlolo. The government acknowledged that there were people killing animals and selling their meat in violation of the government's ban. This is where people rely on killing or selling animals for money. That is why people are doing this secretly in the market. You will not find meat but you will find people eating meat at home. We are currently in the process of eradicating the disease, so if some people do not adhere to the policy we have set up they will disrupt our operations and know that the disease can spread all over the world if people smuggle animals or animals through circumcision methods, ”he said. other states such as blantyre zomba mwanza mulanje and thyolo in the southern region depend on the meat from the state of jealousy and violence the state and violence limits on sorjin and at the diversion and life are set up water treatment gates where everyone even when the car leaves the state of jealousy ""If this is not the case,"" he said, adding that this would not be the case. The vaccine is three times in the district and they are waiting to see if the disease is eradicated before announcing that people will kill and sell their animals. The disease kills cattle, but why not prevent sheep and goats from being killed? ""Some pigs have the potential to spread the disease, such as pigs, which are at high risk of spreading the disease, so that we can easily eradicate the disease. Symptoms of foot-and-mouth disease and inability to walk and eat and then die, according to the veterinary office of the Ministry of Agriculture."
1213,"Don't forget to protect the nuts from chuku when the nuts are ripe. Bvumbwe richard andasiki experts say that farmers should protect the chuku from the chuku when harvesting and drying. they can easily be relocated or they can be kept in a state of disrepair. We have met. We met at school in Chiradzulu. Chuku nuts are not commercially viable. It releases toxins that cause cancer and malnutrition, he added. ""Fatch to avoid all this,"" he said. ""First of all, farmers should harvest the best nuts when they dig them and keep them in the air until they dry out. He said the farmer should dig a few holes in the ground and when he had finished he would pick up a few nuts from each hole and peel them. to look at the sky with the aim of drying it out in the sun ""Yes, pulling the nuts but using a hoe to dig the farmer should stand in the middle of the row and dig both sides vigorously so that they can all get out of the way"" said the guide. ""This is a serious problem for farmers,"" said Moses Tanazio of Ntcheu, who is one of the best farmers in the area. in the meantime he has not started harvesting until you have fulfilled the instructions given to him by my growers. you pack it in good bags and snuggle he said"
1214,"Dedza diocesan ministers released on ordination letter thank you chapola diocesan superintendent of ministry peter white last Friday said that the preparation of priests and nuns for the year of ecclesiastical dissolution helps to identify ministers in the church. The diocesan minister said this during a one-day seminar organized by the Office of the Pontifical Council for Promoting the Doctrine of the Diocese. We saw the need to release the ministers because they are the ones who are leading the parishes so they can better understand the dispensation of the church. ""Peter Peter Medya, the head of the Pontifical Council for Promoting the Doctrine of the Faith, said his office had organized the training so that priests could better understand the dispensation of the church and the Christians. pope wants in his message for this year it will also help ministers understand more about the papal ministry"
1215,"Cadecom Catholic Church says the rural community needs to play a bigger role in addressing the challenges posed by climate change in the country. Climate change is causing problems such as this. Aaron Kandiwo Ntaya, from the Catholic Church's headquarters in the country, said this on Thursday during a meeting with senior members of the district chief in Machinga district where they wanted to know some of the problems they are facing due to climate change. ""We want to empower people in the area with the aim of reducing the problems they face due to environmental degradation and providing them with education on how to restore the environment and we want to empower them to earn a living and cope with climate change,"" said Dalisto. Climate change activists say the people in the area are facing a lot of problems which in some cases are affecting the rights of men."
1216,"The transfer of power is likely to take place as the debate continues over the issue of the division of power between the country's leaders. DPP leader Peter Mutharika received a landslide vote showing that the people do not want him and in the election of Mutharika, he has appointed three central, four and four northern ministers. Dpp, who is also the dpp's election commissioner, agreed that most of the ministers were from the southern region but said this was because the ruling party had more MPs in the constituency than in other constituencies. ""The president had a lot of names in the south and this will not lead to a decision to share power,"" he said. It all depends on the electoral law, the one who gets the most votes is the one who wins and he is the leader, so I do not see the issue of how many people voted for him. in this country they should have their leadership so that development and other activities can run smoothly Chancellor's College Blessings Chinsinga said the promoters were not breaking the law but exercising their rights. He said in a democratic government, people have the right to choose how they want their affairs to go, but said this should be followed by a referendum. President Peter Mutharika on Monday said Malawians should discuss the issue so that their heads can be considered legitimate as long as the views are given truthfully and in accordance with the law. According to Mutharika, the Public Affairs Committee (PAC) said in a statement that the president's remarks were ""encouraging"". He said it was gratifying that the leaders had shown interest in giving the people a chance to express their views. He said it was gratifying that the leaders had shown interest in giving them the opportunity. The opportunity to exercise their rights whether the people choose to change the system of the country or not, we do not care, but it is up to them to decide. """
1217,he surprised me he surprised me he changed his mind he changed his mind he changed his mind he changed his mind he changed his mind he changed his mind he changed his mind he changed his mind he changed his mind he changed his mind he changed his mind he changed his mind he changed his religion he changed his religion boyfriend help me pk i got blantyre pk i would have helped you enough to know how your relationship started and how long have you been in a relationship how old is the man who he is and what does he do i said this because i feel like you don't know him well most girls do not research enough before marrying a man especially when the person is older the consequences fall in love with the owner's husband which endangers their lives and future and I urge you to investigate the man carefully and find out the truth before you act do it all in a hurry for fear of regretting it in the future and help me and grandma I met another girl and when I saw her my heart was satisfied that she was the woman I wanted to be the mother of my children we had been calling and dating for two years but strangely enough when I asked her she refused. help me this girl i love her she is beautiful she is friendly she is respectful he can clean up and tell you what makes him look so good looking for a marriage partner and want the woman he is going to marry to be between the ages of a religious person who has been infected with the hi virus v ppx i want a wife help me i want a wife i am a young man and i do business the woman should call this phone
1218,"The decision to raise fees has caused a stir in Parliament last Thursday as lawmakers debated the government's decision three months ago to raise fees in secondary and tertiary schools in the country. The issue was heated in the House of Representatives, with members of the opposition and non-governmental organizations criticizing the government for not being able to raise funds for the school because many Malawians are currently facing severe economic hardship despite the country's government efforts to prevent the issue from escalating. He concluded by saying that the issue needs to be addressed calmly. Education Minister Manfred Ndovie said the rise in physics was in the best interest of Malawians because it would help improve education. ndovie, MP for Salima Central MP Felix Jumbe, a member of the McP party, said the rise in fees had come at a time when many Malawians were suffering from hunger and economic hardship. Innovative people who are already in poverty. ""I am not here to please the government or the opposition, but the people of my constituency east of the Machinga state,"" said Justice and Justice Minister Samuel Tembenu, have tried to stop the debate by saying that the legislature has no power to change the law through the Jumbe's approach. Mangochi sub-county councilor lilian patel of the party udf said the matter was not worth discussing as it was not on the agenda but it was not heard and it took the speaker of the house richard msowoya to order the matter to be discussed and reviewed by the councilors after the councilors agreed not to raise fees ""Civil society education coalition csec bsecic Benedicto Kondowe said the increase in fees was important for the smooth running of the economy,"" he said. He said the current situation is that people need more time to prepare not just today because most Malawians do not have the money to be honest in Malawi there are problems with money and very few people so raising fees at the time of people planning for agriculture ""It's time to dump her and move on."""
1219,"mec mcp satisfied with the registration process things have changed as people register in large numbers for the second phase of the registration process to be held in the country next year the head of the malawi electoral commission mec jane ansah and malawi congress party spokesperson This is in stark contrast to the registration process. This is in stark contrast to the first phase of the census and the opposition and the MCP said they were dissatisfied with the conduct of the census and asked for a census. In the second phase, the MEC has registered in Kasungu Salima and Dedza districts, while in the second phase, the council is registering people in Mchinji, Nkhotakota Dowa and Nichisi. ""On the first day of July, the turnout was so high that in some areas the turnout was approaching,"" said National Plan for Civil Society for Good Citizen Education Trust Trust Ollen Mwubunju. will change the percentage of the population will be registered by yesterday if things continue like this then the democratic goals of empowering the people will be achieved, he said. ""The people who went to Tembwe and Chwaula in Mchinji on the opening day of the second phase of the registration process have returned because the Electoral Commission's machine has been returned."" o he had been damaged in the dambe area of ​​the dambe district in the same area especially in the hawk thma gaandali and kapiri there were long queues of applicants but things are moving slowly because the mec machines are broken ansah said The registration of dowa people is the one that registered for kainja for the end of mbido for the broom for the grasshopper and at the mvera primary school enrolled people james gamma who is in charge of elections The generators are working and things have changed so we are confident that we will be able to meet the expectations we have been waiting for, ”she said. chisi mec is looking forward to enrollment and more people are coming to register the warden in Nkhotakota said in some areas mec and security personnel are coming late the secretary general of mcp eisenhower milk anga said the mec should not rush to publish false reports before fully investigating the first phase of the registration."
1220,"Gule fist benjamin gule was injured when he was hit in the head with a bottle and taken to hospital to be stitched up to fulfill promises. Benjamin said the club was full of people who wanted to wear the gulewamkulu. but he refused. Tie insisted until a fight broke out between him and Tiwa, ""said Benjamin, realizing that he had been injured. He rushed to the scene to stop the fight. The dam was near the village and when the people heard the screams they rushed to see what was going on and arrested him. He asked the chief when we asked if the district had a gulewamkulu lundu said the club is the center of the gulewamkulu you don't know that this is the home of gulewamkulu you don't know that this is the year of kamuzu banda he came here ""We all have our own clothes here,"" said Lundu. Gulewamkulu in the gorge is a sign that they are not barbers. When we talk about the gulewamkulu we are talking about the central region and Blantyre a little bit but not in the gorge said the animal and you should know that the gulewamkulu are ghosts he shoots a car if you don't give him money"
1221,"jb has promoted women but the work is still in progress as Malawi joins the rest of the world in commemorating Women's Day. Some Malawians have commented on the performance of President Joyce Banda. He is out and re-arrested. He has suspended Parliament from fulfilling his promises. The pregnant women of today have never been in the past, which shows that the band has been doing the right thing in the months it has been in power. Women's lives in this country when you are president people look at you a lot but this is where the presidents sometimes seem to be winning and so they are not setting a good example this leads some to say that these women and the dispersed are like backsliding. We do not want people to say that the game is a failure. In his statement, he said that he did not want President Banda to take action at this time, especially for women, which is enlightening women in this country. We talk and when we are happy, we should not hide from women, we should not be jealous when our friends do well and we should not compromise when they turn around, he said to us on Mother's Day we remember it in March but this year in this country he remembers this Saturday di pledge time to take action to address violence against women"
1222,"The HIV / AIDS epidemic has disrupted other rituals such as the rite of passage which empowers the hyena to arrange a funeral for two weeks and the rituals take place three times a day as a result of the disease. A nana method has spread the disease. Bobby Kabango was in the state jealous of where he talked to the secretary of the village, for example, he went out and was arrested again to fulfill his promises. The emperor then there is nothing I do not know about this village and the traditions that we follow milk the tradition of nanawa we just take drugs to kill death is the ritual of death still going on here is happening but secretly because the way AIDS is a disease cannot be compared to organizations have been coming to mobilize people to put an end to such bad practices and the fruits of it are here. So what do you do to keep death at home? relatives take the medicine in a row and the house is fine. What happens when the funeral takes place like today and tomorrow we doubt it and then we play one day when we gather to sweep the floor when the nanana ceremony takes place you can do the ceremony at any time whether it is day or evening. they are placed in a cup of water and then each member of the family receives the medicine and drinks it a little until all the relatives have had enough of the medicine. means that when people enter the house to take the medicine, you mean, each member of the family should take the medicine. On the day we plan to arrive at the house, we welcome them and take them to the house where the funeral took place. What if a funeral happens like this? We get a hyena to go to the house where the funeral took place. u for two weeks the hyena was working to get rid of the ghost that had covered the house three times so it was all over hahaha eeh he was very happy but now that this was over what if the female hyena died and the females were found no more then we would make the medicine or else ask another family to go and die"
1223,The United Nations has called for help in the fight against locusts.nutrition in Ethiopia and Somalia are the worst affected by the BBC.The only way to control the locusts is to spray them with airplane reports.
1224,"st paul choir will help patients in need if young people saw the need to help people in need with things that would help their lives improve and how much they have for us as a youth choir and when we were baptized and commissioned when we heard that some of our fellow Christians needed things that would improve their lives According to Simwaka, one of the members of the choir for their interest in helping other people. One of our recipients, Brian Mhango, praised what the group has done for me. thanks to the choir for what it has done it has made my journey easier especially when it comes to buying me bicycle equipment at first I have difficulty walking especially the equipment of my bicycle was damaged so the arrival of this help has reduced my anxiety said st members of the st pauls choir of st pius in st pius parish in the arch diocese of blantyre and among other things the choir bought and assisted with the Christians were tires and a tube for bicycle spraying medicine and flour"
1225,"Tchezani thanks Chapola image Seven people have been killed and three others seriously injured when a car they were traveling in collided with another vehicle in Ntcheu district.Four of the men and three women were killed in the crash. The lorry, a frightliner, was traveling from Ntcheu to Dedza.One of the victims was a minibus, which was carrying a large number of people killed in the crash. One of the occupants of the minibus was one of the drivers of the car."
1226,Dowa state man kills police child in Dowa state man arrested for allegedly killing his teenage son by stabbing him with a knife image has confirmed the incident.The brave man ended up in April this year drunk and when he got home he started beating his father but to protect himself the man took a knife and stabbed the child in the chest.to appear in court to answer a murder charge
1227,"Excessive water in the market using stagnant water to get out of the butchery market A survey conducted this week has shown that pollution is widespread in many markets in the country, especially in Blantyre and Lilongwe city councils because there is no piped water. in Blantyre butchers have threatened to leave the market if the council does not take action because they have been without clean water for two years now. they tend to buy the water away from their business premises as this can put the lives of meat buyers and sellers at risk because unsafe meat can be a source of germs that can also damage the lives of predators. Councilors Anthony Kasunda said Blantyre Council did not know that the market had been cut off. Kasunda had to follow the rules. We have people in charge of the market and they are in contact with the council on water and electricity bills and other matters. You are saying this is new to us, Kasunda said last week. The butchers said they had been urging the council for a long time to fix the situation but nothing was happening except for a promise they said the council had cut down water meters saying bills were rising but said they had abandoned the promise that the water issue would improve. every market had a water pump but in the council it was a meter deep from there till today we have no water said one butcher we are now using water that just flows down near the market or we buy in tanks he said earlier The rent was also paid for water according to the bill that was issued and the council was the one who complained to the blantyre water board. We still do not understand why they removed the water because we pay but we were surprised if they removed the meters they would remove it with the water board. We would have known why they said this. He said Blantyre City By-Laws prohibits trade everywhere and that it is illegal to leave the market. Blantyre traders must follow all the rules and there is no need for anyone to violate the rules intentionally, except for the issue of water. some people who sell meat illegally without documents come in cars with meat and their scales selling meat wherever we are not allowed to do so because of this our meat is not moving commercially tadandaul But we do not understand that these people do not have licenses to sell meat but they are not banned. Our rangers are taking away any trade that is taking place in the wrong place in the Limbe market in this city."
1228,"st benadeta chibavi choir hopes to launch new record writer kondowe benavi white marathon choir in the diocese of mzuzu says all the launch of their new audio album called maria's son is in the hands of ezekiel nyirenda who is a choir consultant said this when radio mariamalawi wants to know more about the launch of nyirenda's label said the launch of the new show in st francis will be well prepared and he said it will be launched in lilongwe because there are so many friends and we see the vision that these friends will help us in many ways such as writing letters to the public.They say that the real purpose of this song is to spread the message of God through music, which includes great sermons and to raise funds for charitable work, such as helping orphans and the elderly."
1229,"Pope Francis said Christians should always be faithful and trustworthy. Pope Francis said this at a Mass he led at Vatican.He said it was important for people to be faithful to God and to put their faith in God, like Mary Magdalene"
1230,"The Supreme Court rejects the MEC's ​​request. The Supreme Court on Thursday rejected an application by the Malawi Electoral Commission (MEC) to postpone the election until a court hearing appeals that the Constitutional Court has not ruled in favor of the Chamber. mec tamando chokotho has told judges that the mec wants the by-elections to be postponed because the council had too little time to prepare. out of court after the verdict was handed down but according to the mistake not made by the first respondent's representative the president of utm party saulos chilima said the judges had not seen any of the mec rules which means where the mec should go The Supreme Court in April will begin hearing a case in which the mec and the president have filed a lawsuit against the current ruling that the mec has not ruled in favor of the mec. Finance Minister says he is unaware of the issue which some experts say is a waste of public resources. This is in Malawi's desire for President Peter Mutharika not to wait for the deadline to sign bills that lawmakers have approved. bills on how the re-run of the presidential election will go and on the days he has been in office but the opinion of some Malawians including the Hrdc was that Mutharika should not wait for the dates. The bills will delay the signing of the bills, which could jeopardize the preparations for the by-elections to force Mutharika to sign the bills sooner or later. by timothy mtambo gift trapence and macdonald sembereka on suspicion of violating sections of the country's law arrests came after Mutharika said at a meeting that the police should use their powers to prevent protests from taking place ""The three police officers were released on bail on Thursday and the court ordered them to pay K200 and report to police headquarters in KwaZulu-Natal."" area in lilongwe they were also advised not to disrupt the investigation into the case and to pay k2 million shillings each week the malawi congress party mcp suspended protests on Thursday in an attempt to force the police to release the three but legal expert prof edge kanyongolo said there was no law yet. The bill gives the president time to sign the bill and then the dates are not enough and the section says the president has the right to return the bill without signing it but for some reason he insisted that the bill be returned to Parliament and for good reason."
1231,"Gulewamkulu and medicine When illness strikes at home, parents have many ways to deal with the disease according to their beliefs. Some believe Gulewamkulu said that if the body dances, the patient will recover immediately in the village of Sled. maxwell chief maxwell rejoice gulewamkulu says it is a cure we know each other's responsibilities are high enough to fulfill the promiseshrdc election of a minister raises mountains in the valley promises are becoming clear i have a number of responsibilities I am the minister of the region The people of this village have other activities according to their beliefs. They approach me to give a message to our king who allows the events and to the party. I have my share. Let's talk about the big party. What do you want me to tell you here? they know that yes but it's okay not to wear a dance well what is the story you want to talk about we feel that the dance is a drug and it is true it is true we ache we believe this this happens when the spirits command us to do it how come until we call the dance avine in order to get rid of the disease this is not possible without the control of spirits explain the origin of the spirits to control a person if they are sick we go with him to the healers as we pray about the origin of the disease there they even say if the disease needs to dance diseases like ghosts did not say when the dance dances how it is they say you take a cup of msunje and we put flour in it and knead it here you start circling the cup while you are circling the cup you sing a song after they say t throw it under the tree while we do this drums break and the beasts dance sing the song let's hear we wake up our well if it's our spirits wake up the spirits wake us up by tomorrow if the disease gets worse then the disease gets worse and if we wake up ours then it is useless When they dance the big dance gives you any medicine there is no medicine and the cure lies there when you dance and follow what they say the disease ends then who should be present at such a ceremony the dancers are present at the venue and the owner of the house when choosing a family owner it is possible for a dancer to dance while you are not a participant. It is not possible here because everyone has shaved or bought a method"
1232,"What happened here? The weather has changed. My friends, what is happening here? One night the heat was so hot that I spent the whole night scratching on the roof. It was so hot. If you come again in June, what is happening today to hear that somewhere the storm has blown the roofs and then to hear that somewhere the lightning has killed people, what is the problem? police no going to diesel petrol none of us years of dancing the old lady found us dancing so who can stop you from dancing the soul ring what is wrong with us not to dance she came the air ring and the driver of a lot of cars came with many friends after all she has friends Many of us said let's cross the railway line and take the short path to Mbayani. We were walking along. We found a ribbon that they put on to show that at the opening of the development, I am very grateful to my fellow brethren. to get out the old man from the palace tied up the old lady I told you very much male chauvinist pigs will not tell us what to do here at wenela mbamba I am very confident and soon when I open the Indian road to limbe to say that he is unable to come back here to wenela because no one has given him a house did he always divide the ducks he slept in a tree that's why I also agreed with the word pete pete that the way things are here at wenen I The children of the future will curse us here at wenela there is a need for like-minded people like che guevera nelson mandela and even fidel castro otherwise we will continue to shout at the leaders to pull out when they mention mama tuge's name said"
1233,"marriage laws contradict interpreting child marriage law as difficult now as there is a conflict between the provisions of the Constitution and the provisions of the Divorce and Relations Act Act section of the Constitution states that no one over the age of one shall be barred from marriage or marriage clause states that a person of middle age and may be married or remarried if with the consent of his or her parents or guardian he or she has complied with the fulfillment of vows. to remove the kings who are found approving the marriage of a minor for example the village headman galuanenenji was removed from office for approving the marriage of a girl of age even though her parents agreed to the marriage. ""The law is being abolished,"" said Esmie Tembenu, a blantyre child justice magistrate. and relations act because of the importance of children going to school the marriage law is what we are using but we are scared because this is not in the law of this country if someone takes you to court they can win the case because only the laws of this country have the power The law professor at Chancellor's College Edge Kanyongolo said there was a lack of transparency in the country, but said that in order to implement the law, it was necessary to amend section l. which is in the laws of this country"
1234,"famine has warned some kings in the country to call on the government to help them cope with the famine that has already plagued several governments and some areas are already surviving the genocide. This comes two weeks after the famine and early warning systems network fewsnet warned that nearly a million people will be starving in the country this year. The agency's report on food security in the country from August this year until March next year the review also said that anti-hunger activities are likely to be inadequate and may be depleted by November or December this year in addition to envy. zomba thyolo mulanje neno mwanza and mangochi in the southern region salima and ntcheu in the middle and other parts of the north district karonga district north kachindamoto said there are villages where people are almost affected by the famine We tried irrigated maize but failed because the rivers have dried up if we do not get help until December. There is hope that people will lose their lives, ”he said. ""There was no rain at the end of the day until the floodwaters receded,"" he said. The black dog did not leave the area where the people below were affected by the famine. We will start irrigating agriculture because almost every area in the country is affected by famine, said the chief, who said his area is full of people. The rains did not go down well and the famine affected almost the entire government. He said the government should accept the fact that there is a famine in the country so that the agencies can start helping. ""There is no hope that the people will be able to help with food aid in the country. There is hope for the people to be rescued,"" said Spokesman Moses Kunkuyu, who said the government had already started distributing food rations to famine-stricken areas. Blantyre district's famine-stricken region is receiving a subsidy from the Ministry of Agriculture. The country has harvested millions of tons of maize."
1235,"Pope Francis is expected to hold a mass prayer service for refugees.September is the Refugee Day, so it should be well planned for the pope to commemorate the day at Mass."
1236,"How can a person with measles be cared for in the wild when he recovers? how come bobby kabango was in the village of mponde to senior chief ngabu in chikhwawa and he was talking to tsaka owners like chisale he came out and was arrested again pasika stopped the parliament on wenela change for sure let us know it hurts my name and tsaka owners and the name my parents gave me I have been living in South Africa for a long time and I have settled in the country but in the sun here how do you feel today as long as there is no sun here unlike other days we just got used to it because in I found out that when I took off my shirt, we were not interested because of the heat. We feel that the old customs are still going on. It is true that there is a ban on rituals. Maybe I should hear from you if there is a ban and why they are banning it but it is happening because there is a ban. about traditions and beliefs we will not stop clinging to the old how can the old let go because you have gone to school the problem is when you go to school you feel like the traditions of the parents are useless because of this we are hurting The fact that you have been told that a person with measles is an enemy is a fever and should not be exposed to this danger. Fever. What does fever mean? This is where the body does not heat up without a heater. There must be someone who causes the body to swell and this happens when a man or a woman has done this. Where do these words come from? to meet the patient and not to be exposed to this danger here we are still doing this. What kind of meeting? Let's imagine that a fever patient sleeps in the house. He should not come near the house and just walk around. he stays until he recovers but only in the evening we bring him who does he stay with in the forest and what is the time when you bring him to the forest his parents and a few other relatives but these They take care of her by giving her food and medicine. At night when people are asleep, we bring her home and in the morning we take her back to the forest. What medicine do you give her? We take bark of the tree and then we put it on after a while. It is not possible for the patient to have a fever. Aaaa you are sick so you may not have the time or energy to warm up. within a few days you feel dead but it's a ritual"
1237,Zomba Governor Dr Raphael Piringu has warned residents of the country to be prepared for emergencies at a time when the rains are about to start.A press conference has told reporters that it is their responsibility to inform the public of the potential dangers of this rainy season.
1238,"""Kings and other political analysts in the country are threatening to disrupt next year's elections and threaten to destabilize the country."" in the country mainly following the arrest of leaders of other parties dpp and the party which was recently thought to be most affected by the riots first with the arrest of the party governor in the south noel grounds Peter Mutharika has been ousted in connection with a plot to overthrow President Robert Mutharika after his death last year. Blantrye and Lilongwe and the government of Phalombe and Thyolo were outraged by the arrests of party leaders. dpp to bears to protest riot dpp by chanting this The trial court is expected to prosecute the alleged perpetrators of malnutrition. I do not know why these parties are rioting and yet there are police and courts. They want peace and the parties must work hard to bring peace. The next election needs peace. No, we all need to take action, ""said Ruphi's forgotten group. Democracy is not like that and we have to leave everything in the hands of the law so that politicians can work without violence and have their limits. We are talking about this but we will take action. You know that somewhere when your brother is arrested it is still painful. There are reasons why this happened. ""We don't consider it necessary to comment on such fabrications,"" said UDF Ken."
1239,"Cadecom Catholic Diocese in Mangochi says women have a role to play in addressing climate change and land degradation. Speaking to our correspondent who wants to know how climate change affects women in the diocese, women say that women play a key role in the country's agricultural and domestic activities and therefore have the potential to address climate change and land reform through agriculture. When we talk about climate change in Malawi, the causes of agriculture and forestry are that women are the main contributors to agriculture in Malawi. Secondly, women are the ones who are busy preparing food at home, which requires a lot of wood, so we ask women to use the stove. We urge women to use baskets or rugs, not plastic ones, and to wear wood to restore the soil, ""said Vietland Candidate from the Arch Diocese of Blantrye. ""Protect us by teaching us basic lessons such as women. We throw rubbish in our streets and we throw away the pumps and plastics that are causing our soil to be damaged."
1240,"A spokesman for the People's Party, p. the valleys in the valley promises to start appearing to leave pp msonda is there a pebble and a dry leaf that has fallen out of the old ruling party for the good of the party supporting pp uladi mussa says msonda if anyone has the right to leave the party msonda insists he is a political leader His party does not mean that his political career is over but he is listening to what his god has to say to him on Thursday. He promised to tell the Malawian people the reasons for leaving the party and what he plans to do in the future at a press conference in blantyre city but yesterday he changed the board and told reporters that the meeting had failed after he listened to his pastor's instructions my pastor told me not to hold a press conference until the right time set by god and asked people to understand me as I have said before and want to deepen my life He said he spoke to PP Joyce Joyce Banda, who is out of the country where she has been in the run-up to the by-elections. Msonda said he had asked her not to leave immediately until she returned to Malawi but she said she was in a state of shock. This was inconsistent with his plan to ask God for guidance in his political and spiritual future. I am supposed to speak for the party and give a good image of the party to the people of malawi but this does not mean that I am a dry page that has become obsolete as I have said I want to deepen my spirituality first to talk to people about politics I have already given up there but in the future you will see me participate in the election ""The soldier who has been changing parties and is better known as the foot soldier has said that in due course he will tell the people the plan that he is asking God to fix for a man whose tongue has put him in trouble by being taken to court for inciting people to kill homosexuals. single or female members joined the pp party in january before the party came to power but Ms. Banda is second in command of the late President thunder Mutharika she was elected as the pp's prophet and this position continued after the pp party came to power p following the death of Mutharika Msonda, who was also an aide to help the prophet in the udf party before joining PP, has been harassing the ruling party and his rhetoric and earlier this year called on President Peter Mutharika to resign over his failure to address the economic crisis. He made the remarks at a public affairs committee pac meeting in Blantyre, which angered many ministers who took part in the rally."
